,Date,City,State,CompAddress,Latitude,Longitude,PartialAddress
155,2022-11-08,Oklahoma City,Oklahoma,"2501 SE 51st St, Oklahoma City, Oklahoma, USA",35.4141941,-97.4673597,"Oklahoma City, Oklahoma, USA"
156,2022-11-08,Seattle,Washington,"1819 N 135th St, Seattle, Washington, USA",47.7264012,-122.3366054,"Seattle, Washington, USA"
157,2022-11-08,Springfield,Massachusetts,"100 block of Walden St, Springfield, Massachusetts, USA",42.0854196,-72.5539114,"Springfield, Massachusetts, USA"
158,2022-11-07,Troy,Michigan,"2860 Charter Dr, Troy, Michigan, USA",42.5615439,-83.1374252,"Troy, Michigan, USA"
159,2022-11-07,Fairbanks,Alaska,"1600 block of Washington Dr, Fairbanks, Alaska, USA",64.8341883,-147.8014199,"Fairbanks, Alaska, USA"
160,2022-11-07,Atlanta,Texas,"200 block of Pecan Ln, Atlanta, Texas, USA",33.1165809,-94.1686758,"Atlanta, Texas, USA"
161,2022-11-07,Laurinburg,North Carolina,"500 block of Wagram St, Laurinburg, North Carolina, USA",34.7878772,-79.4490557,"Laurinburg, North Carolina, USA"
162,2022-11-07,Kernersville,North Carolina,"Weatherton Dr, Kernersville, North Carolina, USA",36.0522009,-80.1117906,"Kernersville, North Carolina, USA"
163,2022-11-07,Memphis,Tennessee,"4625 Tchulahoma Rd, Memphis, Tennessee, USA",35.0218319,-89.9550341,"Memphis, Tennessee, USA"
164,2022-11-07,Columbus,Ohio,"20477 Jermain Dr, Columbus, Ohio, USA",40.0102303,-82.9523598,"Columbus, Ohio, USA"
165,2022-11-07,Warren,Ohio,"100 block of Charles Ave SE, Warren, Ohio, USA",41.2363511,-80.8041791,"Warren, Ohio, USA"
166,2022-11-07,Magnolia,Kentucky,"92 Eve Hwy, Magnolia, Kentucky, USA",37.3391974,-85.7571546,"Magnolia, Kentucky, USA"
167,2022-11-07,Warner Robins,Georgia,"51 Cohen Walker Dr, Warner Robins, Georgia, USA",32.5490932,-83.6627555,"Warner Robins, Georgia, USA"
168,2022-11-07,Houston,Texas,"3441 Mainer St, Houston, Texas, USA",29.6863652,-95.375573,"Houston, Texas, USA"
169,2022-11-07,Charlotte,North Carolina,"400 block of Drury Dr, Charlotte, North Carolina, USA",35.2602898,-80.8042047,"Charlotte, North Carolina, USA"
170,2022-11-07,Redan,Georgia,"5300 block of Olde St, Redan, Georgia, USA",33.7304059,-84.172321,"Redan, Georgia, USA"
171,2022-11-07,Cleveland,Ohio,"3351 Regent Rd, Cleveland, Ohio, USA",41.4668015,-81.6407314,"Cleveland, Ohio, USA"
172,2022-11-07,Brooklyn,New York,"565 Euclid Ave, Brooklyn, New York, USA",40.673308,-73.8711491,"Brooklyn, New York, USA"
173,2022-11-07,Detroit,Michigan,"5500 block of Ivanhoe St, Detroit, Michigan, USA",42.3567638,-83.1292219,"Detroit, Michigan, USA"
174,2022-11-07,Baltimore,Maryland,"4000 block of E Lombard St, Baltimore, Maryland, USA",39.2917312,-76.5631795,"Baltimore, Maryland, USA"
175,2022-11-07,West Memphis,Arkansas,"I-40 and Mound City Rd, West Memphis, Arkansas, USA",35.1565569,-90.124265,"West Memphis, Arkansas, USA"
176,2022-11-07,Weaverville,California,"600 block of Main St, Weaverville, California, USA",40.732178,-122.9407927,"Weaverville, California, USA"
177,2022-11-07,Bonaire,Georgia,"122 Edgarton Way, Bonaire, Georgia, USA",32.5649769,-83.594136,"Bonaire, Georgia, USA"
178,2022-11-07,Indianapolis,Indiana,"3200 block of Nightsong Dr, Indianapolis, Indiana, USA",39.7176577,-86.2548905,"Indianapolis, Indiana, USA"
179,2022-11-07,Amarillo,Texas,"7865 Canyon Dr, Amarillo, Texas, USA",35.1249593,-101.9033312,"Amarillo, Texas, USA"
180,2022-11-07,Philadelphia,Pennsylvania,"Broad St and Fairmount Ave, Philadelphia, Pennsylvania, USA",39.9670315,-75.1604159,"Philadelphia, Pennsylvania, USA"
181,2022-11-07,Silsbee,Texas,"2500 block of Pine Park Dr, Silsbee, Texas, USA",30.4029421,-94.2122009,"Silsbee, Texas, USA"
182,2022-11-07,Peoria,Illinois,"500 block of W Gift Ave, Peoria, Illinois, USA",40.7195123,-89.6001418,"Peoria, Illinois, USA"
183,2022-11-07,San Francisco,California,"3rd St and La Salle Ave, San Francisco, California, USA",37.7372106,-122.3899382,"San Francisco, California, USA"
